serial_number,session_number,created_datetime,signal_1,signal_2,signal_3,signal_4,signal_5
34,70001,2022-08-08 00:00:00,0.095546685,0.944016786,2.088011187,3.087368793,4.029903042
34,70001,2022-08-08 00:00:01,0.032719242,0.770096264,2.077061517,3.016138874,3.942527971
34,70001,2022-08-08 00:00:02,0.118004841,0.9397994,2.097206818,3.203063493,4.027739095
34,70001,2022-08-08 00:00:03,-0.007243123,0.834353579,1.898132977,2.803188266,3.977619455
34,70001,2022-08-08 00:00:04,-0.039153817,1.058878953,1.951684114,2.998248857,3.89274624
34,70001,2022-08-08 00:00:05,0.054495291,1.046221307,1.947523015,2.949241967,4.145718355
34,70001,2022-08-08 00:00:06,-0.027897248,0.741020754,1.963657243,3.186134432,3.991857986
34,70001,2022-08-08 00:00:07,0.071290111,0.979701822,1.983417675,3.230464882,3.879354796
34,70001,2022-08-08 00:00:08,0.026429489,1.053737837,2.111167861,2.975512375,4.155545871
34,70001,2022-08-08 00:00:09,-0.026809114,1.021534659,2.015657146,2.705758565,4.003419567
34,70001,2022-08-08 00:00:10,0.091878755,1.112628191,2.142823593,2.917410899,4.025713301
34,70001,2022-08-08 00:00:11,-0.119889079,0.923818274,2.044981301,2.876883114,4.158068563
34,70001,2022-08-08 00:00:12,0.0014694,1.027869125,1.97083001,2.850189285,3.985912329
34,70001,2022-08-08 00:00:13,0.063956699,1.134623077,2.110289815,3.080757319,4.031624263
34,70001,2022-08-08 00:00:14,0.114941181,1.108358499,1.945274432,2.972129334,4.054572344
34,70001,2022-08-08 00:00:15,-0.095173803,0.987841164,1.793860065,3.155989644,4.077716504
96,70002,2022-11-26 00:00:00,0.052365184,1.920860369,3.830500792,5.941814182,7.85049612
96,70002,2022-11-26 00:00:01,0.087912445,2.131085803,4.05760179,5.995293714,7.952548077
96,70002,2022-11-26 00:00:02,0.062626708,1.942794265,3.996644979,6.01686202,7.948594816
96,70002,2022-11-26 00:00:03,-0.132336425,1.858021205,3.95452158,6.092981348,8.012221428
96,70002,2022-11-26 00:00:04,-0.029171497,1.94088081,4.085513551,5.959760951,8.059822704
96,70002,2022-11-26 00:00:05,-0.038952399,1.949277488,4.032736973,6.018952049,8.025156841
96,70002,2022-11-26 00:00:06,0.012161954,2.058421653,3.942566158,6.045807085,8.192258467
96,70002,2022-11-26 00:00:07,-0.138925222,1.949267966,3.974975221,5.960247734,8.00063498
96,70002,2022-11-26 00:00:08,-0.053876806,1.874007884,3.986866984,5.97103119,7.948405557
96,70002,2022-11-26 00:00:09,-0.173580636,1.986837847,3.914480298,5.681222826,8.154420987
96,70002,2022-11-26 00:00:10,-0.067145944,1.982305958,4.063779291,5.986641504,8.07423923
96,70002,2022-11-26 00:00:11,0.049713353,1.908233271,3.93487864,5.921609314,8.088391757
96,70002,2022-11-26 00:00:12,0.219453798,2.017078274,3.923092313,5.998591123,7.940637292
96,70002,2022-11-26 00:00:13,0.041087467,2.051553349,3.986942147,5.897220029,7.930523245
96,70002,2022-11-26 00:00:14,0.014559181,2.049380275,3.932746115,5.99536958,7.875879471
96,70002,2022-11-26 00:00:15,-0.138186113,1.961705209,3.944062859,6.090360252,7.97777624
96,70002,2022-11-26 00:00:16,-0.087110511,1.824134282,4.195547606,5.830002601,8.044412167
96,70002,2022-11-26 00:00:17,-0.005702653,1.930118512,4.112120722,5.986774993,8.065361759
96,70002,2022-11-26 00:00:18,0.167539614,2.096957025,4.079558238,5.97435875,7.950009005
96,70002,2022-11-26 00:00:19,-0.137992353,2.055527573,3.849388868,5.974846174,8.076344876
96,70002,2022-11-26 00:00:20,-0.011734535,2.047863373,4.061425218,6.030870745,7.693573994
96,70002,2022-11-26 00:00:21,-0.030638701,1.970029555,3.764220606,6.003804815,8.021996332
96,70002,2022-11-26 00:00:22,-0.041794831,1.990380574,3.984661361,5.920738725,8.012130971
96,70002,2022-11-26 00:00:23,-0.030776589,2.001882504,4.00477894,6.023701261,7.903261892
96,70002,2022-11-26 00:00:24,0.117448676,2.01206907,3.993435618,6.118898267,8.085857646
136,70003,2022-04-16 00:00:00,0.007295706,0.83845029,1.951875268,2.981927102,3.923902294
136,70003,2022-04-16 00:00:01,-0.008516312,0.987327433,1.91436448,3.060885092,4.096089461
136,70003,2022-04-16 00:00:02,-0.090725255,0.977048863,1.823097451,2.90622647,4.058477742
136,70003,2022-04-16 00:00:03,-0.241299543,1.060149847,1.834574976,2.9616933,3.909454348
136,70003,2022-04-16 00:00:04,0.017227141,0.790240111,1.970708596,3.035345113,3.871777039
136,70003,2022-04-16 00:00:05,-0.055407577,1.178256112,2.134450308,2.860889225,4.024108964
136,70003,2022-04-16 00:00:06,-0.02082165,1.015036487,1.934783126,2.990344727,4.057117683
136,70003,2022-04-16 00:00:07,0.019814432,1.008733286,2.143823889,3.249530897,3.82031376
136,70003,2022-04-16 00:00:08,0.112791451,1.06903397,2.061126368,3.048114769,4.232771282
136,70003,2022-04-16 00:00:09,-0.01183316,1.126123471,1.8861211,3.155856534,4.029875879
136,70003,2022-04-16 00:00:10,-0.098110923,0.84358087,2.062968964,3.053823872,3.998906033
136,70003,2022-04-16 00:00:11,0.01039219,1.104571979,1.802705998,3.132966479,4.079090321
136,70003,2022-04-16 00:00:12,-0.084435678,0.948184485,2.150702758,2.996858012,4.090796411
136,70003,2022-04-16 00:00:13,-0.014580543,0.888254983,2.05237916,2.987695244,4.118974518
136,70003,2022-04-16 00:00:14,-0.079789586,1.162224961,2.00138331,2.905555716,4.019209394
136,70003,2022-04-16 00:00:15,0.116232636,1.074486252,1.954760915,3.001572563,4.102403693
136,70003,2022-04-16 00:00:16,0.050575401,0.813956925,2.069118664,2.983483915,4.0137048
136,70003,2022-04-16 00:00:17,0.121113994,0.971886261,1.887010915,2.948587288,3.970436763
136,70003,2022-04-16 00:00:18,0.010399487,1.021380111,2.058244709,2.879468331,3.933277496
136,70003,2022-04-16 00:00:19,-0.002785247,1.106671423,2.10721882,3.135585576,4.11581256
136,70003,2022-04-16 00:00:20,0.00877986,0.831946364,2.017542328,2.896180921,3.912717105
136,70003,2022-04-16 00:00:21,-0.036704962,1.040874471,1.904164089,3.183278842,4.189952851
136,70003,2022-04-16 00:00:22,-0.157618203,0.869995977,2.159146669,3.034038903,3.950433479
136,70003,2022-04-16 00:00:23,-0.097852117,1.163617539,2.120280258,2.792057336,3.937799412
136,70003,2022-04-16 00:00:24,0.035126977,0.934800808,1.884109837,3.058540795,3.810118059
136,70003,2022-04-16 00:00:25,0.066169251,0.92204826,2.145229427,2.928380961,4.025881945
136,70003,2022-04-16 00:00:26,-0.116009573,0.856522821,2.003547106,3.045452571,3.845059202
136,70003,2022-04-16 00:00:27,0.064936349,0.871886406,1.991385006,2.956505274,4.144217648
136,70003,2022-04-16 00:00:28,-0.183427064,0.898252493,2.027919502,3.053172871,4.022661139
136,70003,2022-04-16 00:00:29,-0.149149178,1.047976155,2.017926976,3.164726606,3.933454596
136,70003,2022-04-16 00:00:30,-0.003251471,1.069915534,1.92830784,3.097894592,4.19062734
136,70003,2022-04-16 00:00:31,0.128011837,1.042359056,2.017990961,3.010634684,3.786193917
136,70003,2022-04-16 00:00:32,-0.095888566,0.777054357,1.892460336,3.05938061,4.204122017
136,70003,2022-04-16 00:00:33,0.054661234,0.980480441,2.093709536,3.247651978,4.082873854
136,70003,2022-04-16 00:00:34,-0.097908305,0.946416106,2.037010103,3.17536959,3.941217192
136,70003,2022-04-16 00:00:35,-0.122493977,0.940999244,1.962568658,3.017211303,3.947806432
136,70003,2022-04-16 00:00:36,-0.229421561,0.931108388,1.967046946,2.927166029,3.83311881
136,70003,2022-04-16 00:00:37,0.218937796,1.064456154,1.886736107,3.022185258,3.958025527
136,70003,2022-04-16 00:00:38,0.071383076,0.805091,1.901582146,2.863684145,3.986065894
136,70003,2022-04-16 00:00:39,0.127298724,0.825683762,1.991304742,2.903318588,4.074281912
136,70003,2022-04-16 00:00:40,0.016168823,1.124510097,1.780615638,2.903620602,4.069446433
136,70003,2022-04-16 00:00:41,-0.039778561,0.919544613,1.931711939,2.97524422,3.872434044
136,70003,2022-04-16 00:00:42,0.018724736,1.016998096,1.853842735,3.029947201,3.966762282
136,70003,2022-04-16 00:00:43,-0.030365924,1.068507823,2.165048232,2.865103563,3.792124966
136,70003,2022-04-16 00:00:44,-0.162450744,0.94484969,1.902497464,3.088307482,3.990083371
136,70003,2022-04-16 00:00:45,-0.126586857,1.027462747,2.022857521,3.022636753,3.962583309
136,70003,2022-04-16 00:00:46,-0.075481238,0.752750823,1.911710855,2.882558108,3.874181467
136,70003,2022-04-16 00:00:47,-0.036612099,0.976089749,2.0956059,2.987569501,3.903329958
136,70003,2022-04-16 00:00:48,0.152896212,0.987471424,2.110017329,3.02790711,4.091121016
136,70003,2022-04-16 00:00:49,0.067468757,0.837234862,1.833727509,3.065416712,3.991430996
136,70003,2022-04-16 00:00:50,-0.139309868,0.995706391,2.058546007,3.06723221,4.026044237
136,70003,2022-04-16 00:00:51,-0.042418051,0.992299137,1.985521531,2.892050992,3.961065617
136,70003,2022-04-16 00:00:52,-0.040268235,1.0399622,2.080676295,3.013871725,3.904249781
136,70003,2022-04-16 00:00:53,0.068186434,0.887194528,1.992369784,2.887892254,4.073795808
136,70003,2022-04-16 00:00:54,-0.087102722,1.134083659,2.163894058,2.986621794,3.984299868
136,70003,2022-04-16 00:00:55,-0.045129615,1.17113526,2.202677948,3.010816023,3.815790061
136,70003,2022-04-16 00:00:56,0.031555542,1.094498353,1.958552039,3.082679915,4.067259653
136,70003,2022-04-16 00:00:57,0.045467201,0.897309261,2.054121667,2.928300212,4.069494559
136,70003,2022-04-16 00:00:58,-0.095041511,1.027424498,1.990499626,2.970172906,4.090662517
136,70003,2022-04-16 00:00:59,-0.156333942,1.137486178,1.917087611,3.160005657,4.036644124
136,70003,2022-04-16 00:01:00,0.095353975,0.985246316,1.986903393,2.785198531,4.122219717
136,70003,2022-04-16 00:01:01,-0.126971471,0.990540087,1.929590388,3.09172661,4.041921876
136,70003,2022-04-16 00:01:02,0.147666934,1.091598844,1.973604294,2.864110566,4.128408811
136,70003,2022-04-16 00:01:03,0.07134845,0.894296673,1.821810761,2.91668172,4.099914642
136,70003,2022-04-16 00:01:04,-0.20199176,1.018135141,1.792251648,3.031457133,4.039080129
136,70003,2022-04-16 00:01:05,-0.024606231,1.184293477,1.886938503,3.011532056,4.0418468
136,70003,2022-04-16 00:01:06,0.016792996,1.212034467,2.262733758,2.99156074,4.019504875
136,70003,2022-04-16 00:01:07,-0.015637459,0.879484708,2.022339905,2.901330919,4.007415891
136,70003,2022-04-16 00:01:08,0.144794075,0.927909554,1.990408078,3.129173944,4.03837433
136,70003,2022-04-16 00:01:09,0.063924653,1.026416199,1.786440493,3.067712617,3.978581073
136,70003,2022-04-16 00:01:10,0.114933097,1.061605259,1.920579547,2.955235871,4.058849015
136,70003,2022-04-16 00:01:11,0.126385248,0.969334367,1.997400866,3.14586073,3.993777505
136,70003,2022-04-16 00:01:12,0.100371576,1.006780251,2.026122955,3.020601983,3.936481336
136,70003,2022-04-16 00:01:13,0.030644173,0.851519251,1.973141538,3.042993045,4.075275021
136,70003,2022-04-16 00:01:14,0.065939514,1.114327076,1.890924671,3.005839217,4.037348146
136,70003,2022-04-16 00:01:15,-0.160372129,1.01034582,1.968178456,3.205277682,3.777177222
136,70003,2022-04-16 00:01:16,0.032929073,1.058328205,1.986004197,3.01308699,3.849819226
136,70003,2022-04-16 00:01:17,0.068739115,0.964944505,2.040891215,2.94021186,3.959851294
136,70003,2022-04-16 00:01:18,0.005983531,1.039250312,1.874948112,2.948175212,3.907475222
136,70003,2022-04-16 00:01:19,0.030270012,0.935598532,1.928379164,2.764448882,3.992718911
136,70003,2022-04-16 00:01:20,-0.039206565,1.052997333,1.921144962,3.089402778,3.930595049
136,70003,2022-04-16 00:01:21,-0.11863015,0.946385339,2.064326831,2.962314235,4.015467339
136,70003,2022-04-16 00:01:22,-0.112962714,0.818975513,2.026868955,3.043257155,4.002530856
136,70003,2022-04-16 00:01:23,0.043762684,1.056377468,2.012020868,3.116891654,4.032091983
136,70003,2022-04-16 00:01:24,-0.028262576,0.903114632,2.104976465,2.863359822,4.12072825
136,70003,2022-04-16 00:01:25,0.023070463,0.860211114,1.934929873,3.032484645,3.89152886
136,70003,2022-04-16 00:01:26,-0.163672645,1.039772573,2.050172502,3.132684776,4.046012493
136,70003,2022-04-16 00:01:27,-0.049528542,1.099995944,1.881936842,3.086809323,4.00128218
136,70003,2022-04-16 00:01:28,0.082105709,1.104320451,1.890847126,2.882069975,4.005714867
136,70003,2022-04-16 00:01:29,-0.057428482,1.143780442,1.922256871,2.969850722,4.018759054
136,70003,2022-04-16 00:01:30,-0.049339903,0.97558205,2.100343146,2.873205751,3.889049813
136,70003,2022-04-16 00:01:31,0.078232563,0.950909635,1.901137794,3.032746711,4.202599171
129,70004,2022-12-15 00:00:00,-0.156904914,1.904416895,4.055478411,6.075150662,8.292294102
129,70004,2022-12-15 00:00:01,0.201205912,1.978448523,3.984090342,6.176917002,7.854586871
129,70004,2022-12-15 00:00:02,-0.018150846,2.020787841,4.048274874,5.950085121,7.806478487
129,70004,2022-12-15 00:00:03,-0.004061388,2.215784322,4.197478213,6.045125701,7.999962143
129,70004,2022-12-15 00:00:04,0.157927679,2.007293096,4.008888784,5.914095136,8.111249545
129,70004,2022-12-15 00:00:05,-0.143118369,1.982267138,3.970464523,5.971803068,8.062093317
129,70004,2022-12-15 00:00:06,0.021798984,2.000596922,4.001414579,5.856425131,7.940538874
129,70004,2022-12-15 00:00:07,0.124013226,2.059225159,4.032838962,6.065425865,7.92038708
129,70004,2022-12-15 00:00:08,-0.09834817,1.818150391,4.042318649,6.01225328,8.128999348
129,70004,2022-12-15 00:00:09,-0.01819954,1.842080286,3.874955746,5.839640567,8.18796298
129,70004,2022-12-15 00:00:10,0.063690768,2.087646728,3.990201046,5.918049416,7.958882093
129,70004,2022-12-15 00:00:11,-0.07533672,1.894536014,4.289996599,6.014006678,7.900938839
129,70004,2022-12-15 00:00:12,0.005647499,1.995066408,4.089030955,5.953022833,8.045312157
129,70004,2022-12-15 00:00:13,-0.067192159,2.202957559,4.023634939,5.881313609,7.970420963
129,70004,2022-12-15 00:00:14,0.085108252,1.891289426,4.039691359,5.982065144,8.016427825
129,70004,2022-12-15 00:00:15,0.056829161,2.004928166,4.168765683,6.049213538,8.04767322
129,70004,2022-12-15 00:00:16,-0.078917178,2.004112565,3.960747783,5.858050654,7.868798748
54,70005,2022-07-03 00:00:00,-0.11049944,1.027858262,1.856253829,3.02666752,10
54,70005,2022-07-03 00:00:01,0.044542136,0.788222256,2.074403593,2.969615017,10
54,70005,2022-07-03 00:00:02,-0.125843796,1.160891933,2.023275831,3.155398625,10
54,70005,2022-07-03 00:00:03,0.054156421,1.113716136,1.949572946,3.123843332,10
54,70005,2022-07-03 00:00:04,-0.011329095,1.11812594,2.096255723,3.02999115,10
54,70005,2022-07-03 00:00:05,0.083814664,1.192994292,1.966225297,3.006021069,10
54,70005,2022-07-03 00:00:06,-0.067181623,0.912740597,2.023875567,3.079295427,10
54,70005,2022-07-03 00:00:07,-0.034626621,0.88014331,2.021949318,3.011784692,10
54,70005,2022-07-03 00:00:08,0.096761658,0.985276774,1.811935183,2.956282436,10
54,70005,2022-07-03 00:00:09,-0.050488977,1.135169297,2.085160998,3.042123084,10
54,70005,2022-07-03 00:00:10,0.001783192,0.81599697,2.108067152,3.006826487,10
54,70005,2022-07-03 00:00:11,-0.236511456,0.919841961,1.86993122,2.92998917,10
54,70005,2022-07-03 00:00:12,-0.005782326,0.782221055,2.106056925,3.055335551,10
32,70006,2022-09-10 00:00:00,-2.004552501,1.966004713,3.963941733,6.045366176,8.021518422
32,70006,2022-09-10 00:00:01,-2.159037237,1.961537608,3.990953498,5.981223308,7.888444675
32,70006,2022-09-10 00:00:02,-1.988260308,2.113076959,3.973721703,5.926099181,8.059262981
32,70006,2022-09-10 00:00:03,-1.90944391,1.928055435,3.917365842,6.026483716,7.899541576
32,70006,2022-09-10 00:00:04,-2.123281401,2.081504008,4.217506799,6.180448657,8.016329062
32,70006,2022-09-10 00:00:05,-2.089378324,1.89170949,3.995802323,5.876582886,8.038683803
32,70006,2022-09-10 00:00:06,-2.09897228,2.005985168,3.974602631,5.900835666,7.950033678
32,70006,2022-09-10 00:00:07,-1.905905737,2.011697033,4.0457982,6.023287078,7.927693451
32,70006,2022-09-10 00:00:08,-1.910064679,2.090137119,3.736022132,6.020330739,7.99027297
32,70006,2022-09-10 00:00:09,-1.949463951,2.074761688,4.076716394,6.053408604,7.97922135
32,70006,2022-09-10 00:00:10,-2.103263159,1.948651693,3.981926829,5.809656666,8.161750197
32,70006,2022-09-10 00:00:11,-1.757306231,1.997997513,3.863773909,6.003457048,8.056974064
32,70006,2022-09-10 00:00:12,-2.098481969,1.976574527,4.015501415,6.018410056,7.910168467
